fldb_vessel_id,forced_labor_indicator,brief_narrative,eyewitness_account,official_investigation,non_official_investigations,arrests_made,charges_filed,conviction_made,penalties_sanctioned,source_1,source_2,source_3,source_4,source_5,mmsi,year,flag,gear
1,Isolation | Restriction of movement,"In January 2016, Thai authorities charged three managers of six tuna trawlers, including the Thai tuna trawler Seribu, for fishing in foreign waters without permission from CCIF which violates an NCPO order, as well as violating the Royal Ordinance on Fisheries. They had been fishing in the Indian Ocean without license at the time of arrest. All six vessels are being investigated for human trafficking, but no details specific to Seribu were provided.",NA,TRUE,FALSE,NA,NA,NA,NA,https://www.bangkokpost.com/print/838864/,http://www.thaiembassy.org/warsaw/en/information/65449-Thailands-Fisheries-Reform-Progress.html,NA,NA,NA,567000421,2015,THA,drifting_longlines
2,Abuse of vulnerability | Isolation | Restriction of movement | Excessive overtime | Witholding of wages,"Thanongsak Raksawong, manager of Siam Tuna Fishery Co, was arrested in January 2016 for operating fishing vessels in foreign waters without permission from CCIF, thus violating an NCPO order as well as violating the Royal Ordinance on Fisheries. He was one of three managers operating six tuna trawlers that were arrested for fishing in the Indian Ocean without license. Raksawong was also sentenced for human rights violations, charged with targeting vulnerable migrant workers who lacked work permits, denying them a copy of their employee contract, failing to pay for overtime, and denying compulsory rest hours.",NA,TRUE,FALSE,NA,NA,NA,NA,https://www.bangkokpost.com/print/838864/,http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,http://www.mfa.go.th/main/en/news3/6886/89815-Thai-Court-Issued-a-Fine-of-over-223-Million-Thai.html,NA,NA,567025800,2015,THA,drifting_longlines
4,Isolation | Restriction of movement,"Suwit Thepprasit, manager of of Sales Service (Thailand) Co, was arrested in January 2016 for operating three fishing vessels (Yu Long 6, Yu Long 025, and Hongsify 68) in foreign waters without permission from CCIF, thus violating an NCPO order as well as violating the Royal Ordinance on Fisheries. He was one of three managers operating six tuna trawlers, who were arrested for fishing in the Indian Ocean without license. All six vessels are being investigated for human trafficking, but no specific details were provided.",NA,TRUE,FALSE,NA,NA,NA,NA,https://www.bangkokpost.com/print/838864/,https://es.scribd.com/document/334344418/Turn-the-Tide,http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,NA,NA,312422000,2014,BLZ,drifting_longlines
4,Isolation | Restriction of movement,"Suwit Thepprasit, manager of of Sales Service (Thailand) Co, was arrested in January 2016 for operating three fishing vessels (Yu Long 6, Yu Long 025, and Hongsify 68) in foreign waters without permission from CCIF, thus violating an NCPO order as well as violating the Royal Ordinance on Fisheries. He was one of three managers operating six tuna trawlers, who were arrested for fishing in the Indian Ocean without license. All six vessels are being investigated for human trafficking, but no specific details were provided.",NA,TRUE,FALSE,NA,NA,NA,NA,https://www.bangkokpost.com/print/838864/,https://es.scribd.com/document/334344418/Turn-the-Tide,http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,NA,NA,312422000,2015,BLZ,drifting_longlines
5,Isolation | Restriction of movement,"Suwit Thepprasit, manager of of Sales Service (Thailand) Co, was arrested in January 2016 for operating three fishing vessels (Yu Long 6, Yu Long 025, and Hongsify 68) in foreign waters without permission from CCIF, thus violating an NCPO order as well as violating the Royal Ordinance on Fisheries. He was one of three managers operating six tuna trawlers, who were arrested for fishing in the Indian Ocean without license. All six vessels are being investigated for human trafficking, but no specific details were provided.",NA,TRUE,FALSE,NA,NA,NA,NA,https://www.bangkokpost.com/print/838864/,http://thaiembdc.org/2016/03/07/thailands-fisheries-reform/,NA,NA,NA,312000125,2015,BLZ,drifting_longlines
6,Isolation | Restriction of movement,"Suwit Thepprasit, manager of of Sales Service (Thailand) Co, was arrested in January 2016 for operating three fishing vessels (Yu Long 6, Yu Long 025, and Hongsify 68) in foreign waters without permission from CCIF, thus violating an NCPO order as well as violating the Royal Ordinance on Fisheries. He was one of three managers operating six tuna trawlers, who were arrested for fishing in the Indian Ocean without license. All six vessels are being investigated for human trafficking, but no specific details were provided.",NA,TRUE,FALSE,NA,NA,NA,NA,http://www.thaiembassy.org/warsaw/en/information/65449-Thailands-Fisheries-Reform-Progress.html,https://www.bangkokpost.com/print/838864/,NA,NA,NA,567000445,2015,THA,drifting_longlines
72,Isolation | Restriction of movement | Withholding of wages | Intimidation and threats,"Oleg Naydenov, a Russian trawler, was a repeat IUU fishing offender and had been detained or arrested multiple times. In December 2013, they were arrested in Dakar for illegally fishing in Senegal waters. Government officials who boarded the vessel alleged that workers were abused and their pay withheld as a means of controlling them. Workers were too frightened to leave the boat, both because of threat of physical abuse and witholding of wages. Oleg Naydenov later sunk in the seas of the Canary Islands due to a fire that started in the engine room in April of 2015.",TRUE,TRUE,FALSE,FALSE,NA,NA,NA,https://www.interpol.int/en/Crimes/Environmental-crime/Fisheries-crime,NA,NA,NA,NA,273526800,2012,RUS,trawlers
79,Abusive working and living conditions | Physical and sexual violence | Intimidation and threats | Restriction of movement | Excessive overtime | Retention of identity documents | Withholding of wages,"Taiwanese longliner Tunago no. 61 was again subject to allegations of abuse after six Indonesian crew members were arrested in Fiji for killing the Chinese captain, Xie Dingrong, on the night of September 7, 2016. The 28 person crew, consisting of Vietnamese, Filipino, and Indonesian fishermen, were subject to sleep deprivation, extreme physical abuse including beatings with sticks, verbal abuse, and threats by the captain up until the point of his murder. They were also subject to inhumane conditions including inadequate food, inappropriate food (Muslim crew forced to eat pork contrary to their faith), and 20-hour work days. Crew members had their pay witheld and their passports taken by the captain. The night before his death, the captain even threatened to kill one of the crew. However, this systematic abuse was considered only a mitigating factor - rather than a defence of provocation - in the trial of the 6 crewmen. They were sentenced to 18 years in prison. Please see notes section for details on previous offense.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.greenpeace.org/new-zealand/publication/misery-at-sea/,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,https://www.itfseafarers.org/files/extranet/-1/2259/humanrights.pdf,NA,NA,576678000,2014,VUT,drifting_longlines
79,Abusive working and living conditions | Physical and sexual violence | Intimidation and threats | Restriction of movement | Excessive overtime | Retention of identity documents | Withholding of wages,"Taiwanese longliner Tunago no. 61 was again subject to allegations of abuse after six Indonesian crew members were arrested in Fiji for killing the Chinese captain, Xie Dingrong, on the night of September 7, 2016. The 28 person crew, consisting of Vietnamese, Filipino, and Indonesian fishermen, were subject to sleep deprivation, extreme physical abuse including beatings with sticks, verbal abuse, and threats by the captain up until the point of his murder. They were also subject to inhumane conditions including inadequate food, inappropriate food (Muslim crew forced to eat pork contrary to their faith), and 20-hour work days. Crew members had their pay witheld and their passports taken by the captain. The night before his death, the captain even threatened to kill one of the crew. However, this systematic abuse was considered only a mitigating factor - rather than a defence of provocation - in the trial of the 6 crewmen. They were sentenced to 18 years in prison. Please see notes section for details on previous offense.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.greenpeace.org/new-zealand/publication/misery-at-sea/,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,https://www.itfseafarers.org/files/extranet/-1/2259/humanrights.pdf,NA,NA,576678000,2015,VUT,drifting_longlines
94,Withholding of wages | Isolation | Restriction of movement,"The vessel STS-50 was seized by the Indonesian navy after using illegal gillnets streatching up to 18 mi to catch Antarctic toothfish, an important predator to the Southern Ocean ecosystem. Gillnetting has been illegal in the Antarctic since 2006 due to the significant possiility of bycatch. Interpol alterned Indonesia authorities to the IUU fishing on this vessel, and the fact that they had flown 8 different flags to elude authorities. At the time of capture there were 20 Indonesian and Russian crew. The Indonesian crew lacked documents, had been at sea a long time, and were owed pay.",TRUE,TRUE,FALSE,NA,NA,NA,NA,http://complianceandethics.org/human-trafficking-in-the-supply-chain/,https://www.reuters.com/article/us-oceans-fishing-indonesia/the-one-that-got-away-indonesia-seizes-illegal-fishing-boat-with-30-km-nets-idUSKBN1HG0SB,NA,NA,NA,441536000,2012,KOR,drifting_longlines
94,Withholding of wages | Isolation | Restriction of movement,"The vessel STS-50 was seized by the Indonesian navy after using illegal gillnets streatching up to 18 mi to catch Antarctic toothfish, an important predator to the Southern Ocean ecosystem. Gillnetting has been illegal in the Antarctic since 2006 due to the significant possiility of bycatch. Interpol alterned Indonesia authorities to the IUU fishing on this vessel, and the fact that they had flown 8 different flags to elude authorities. At the time of capture there were 20 Indonesian and Russian crew. The Indonesian crew lacked documents, had been at sea a long time, and were owed pay.",TRUE,TRUE,FALSE,NA,NA,NA,NA,http://complianceandethics.org/human-trafficking-in-the-supply-chain/,https://www.reuters.com/article/us-oceans-fishing-indonesia/the-one-that-got-away-indonesia-seizes-illegal-fishing-boat-with-30-km-nets-idUSKBN1HG0SB,NA,NA,NA,441536000,2013,KOR,drifting_longlines
94,Withholding of wages | Isolation | Restriction of movement,"The vessel STS-50 was seized by the Indonesian navy after using illegal gillnets streatching up to 18 mi to catch Antarctic toothfish, an important predator to the Southern Ocean ecosystem. Gillnetting has been illegal in the Antarctic since 2006 due to the significant possiility of bycatch. Interpol alterned Indonesia authorities to the IUU fishing on this vessel, and the fact that they had flown 8 different flags to elude authorities. At the time of capture there were 20 Indonesian and Russian crew. The Indonesian crew lacked documents, had been at sea a long time, and were owed pay.",TRUE,TRUE,FALSE,NA,NA,NA,NA,http://complianceandethics.org/human-trafficking-in-the-supply-chain/,https://www.reuters.com/article/us-oceans-fishing-indonesia/the-one-that-got-away-indonesia-seizes-illegal-fishing-boat-with-30-km-nets-idUSKBN1HG0SB,NA,NA,NA,441536000,2014,KOR,drifting_longlines
94,Withholding of wages | Isolation | Restriction of movement,"The vessel STS-50 was seized by the Indonesian navy after using illegal gillnets streatching up to 18 mi to catch Antarctic toothfish, an important predator to the Southern Ocean ecosystem. Gillnetting has been illegal in the Antarctic since 2006 due to the significant possiility of bycatch. Interpol alterned Indonesia authorities to the IUU fishing on this vessel, and the fact that they had flown 8 different flags to elude authorities. At the time of capture there were 20 Indonesian and Russian crew. The Indonesian crew lacked documents, had been at sea a long time, and were owed pay.",TRUE,TRUE,FALSE,NA,NA,NA,NA,http://complianceandethics.org/human-trafficking-in-the-supply-chain/,https://www.reuters.com/article/us-oceans-fishing-indonesia/the-one-that-got-away-indonesia-seizes-illegal-fishing-boat-with-30-km-nets-idUSKBN1HG0SB,NA,NA,NA,441536000,2015,KOR,drifting_longlines
94,Withholding of wages | Isolation | Restriction of movement,"The vessel STS-50 was seized by the Indonesian navy after using illegal gillnets streatching up to 18 mi to catch Antarctic toothfish, an important predator to the Southern Ocean ecosystem. Gillnetting has been illegal in the Antarctic since 2006 due to the significant possiility of bycatch. Interpol alterned Indonesia authorities to the IUU fishing on this vessel, and the fact that they had flown 8 different flags to elude authorities. At the time of capture there were 20 Indonesian and Russian crew. The Indonesian crew lacked documents, had been at sea a long time, and were owed pay.",TRUE,TRUE,FALSE,NA,NA,NA,NA,http://complianceandethics.org/human-trafficking-in-the-supply-chain/,https://www.reuters.com/article/us-oceans-fishing-indonesia/the-one-that-got-away-indonesia-seizes-illegal-fishing-boat-with-30-km-nets-idUSKBN1HG0SB,NA,NA,NA,515844000,2012,CHN,squid_jigger
